,jd,mnvel,errvel,tel
0,2450463.170532,-63.49798630367997,1.0946983080450643,k
1,2450547.041979,-67.9293904174495,1.1626250886925926,k
2,2450838.1550459997,-59.2234806884456,1.0831767265590198,k
3,2450954.927072,-63.30186508785965,1.6117070464035388,k
4,2451200.1185419997,-57.71170853268387,1.2444370072420747,k
5,2451310.947894,-63.8445744384456,1.3422345128796291,k
6,2451342.842697,-59.106087194793254,1.4404210230248897,k
7,2451373.845752,-55.16931198727372,1.7051702368537052,k
8,2451553.174931,-59.827827917449504,1.34127797994001,k
9,2451585.133867132,-57.93721960892647,0.8157016436441484,k
10,2451703.8293169998,-65.48983048092606,1.5282904073296508,k
11,2451983.0672110002,-60.323746191375285,1.2602236269095028,k
12,2452002.984468,-60.75451706539872,1.534459265784825,k
13,2452003.89978,-55.110489355437785,1.594606408549117,k
14,2452098.838889,-63.080208288543254,1.4968023513867124,k
15,2452335.0609259997,-55.561043249480754,1.6068058658337727,k
16,2452683.032083,-60.8986058105159,1.4143328059194002,k
17,2452806.839028,-62.98220108639482,1.4017613321716336,k
18,2453074.0660759998,-59.696419226043254,1.4165258489631556,k
19,2453240.774907,-61.21194365598194,1.2817614049091508,j
20,2453425.958519,-57.84666489254714,1.0942856807416808,j
21,2455189.168023,-53.94216026740612,1.3014107445948555,j
22,2455198.1770450003,-58.378337459254894,1.310397928759072,j
23,2455607.180741,-56.98234561066568,1.4049067013948902,j
24,2456637.166368,-55.381165796756534,1.3092657943907149,j
25,2457229.738007,-49.644137177690936,1.4533748754507465,j
26,2457612.72409,-33.73779475851575,1.546622171622425,j
27,2457796.107041,-19.46190749943259,1.5664588476755328,j
28,2457988.7254419997,-4.746996516590059,1.3465149972728143,j
29,2457993.739204,0.6070033437720497,1.4627350867154378,j
30,2457999.730062,-4.97596842199775,1.31954424596611,j
31,2458000.7205919996,1.0956955109752755,1.6734935186251934,j
32,2458002.7163759996,-3.8525251576160144,1.3924884444949814,j
33,2458092.160216,15.03345812014873,1.6953467640281898,j
34,2458114.157043,14.204583061475926,1.520551469918492,j
35,2458125.1474470003,11.647083890862714,1.7041099124045762,j
36,2458141.153161,15.481568409271427,1.5277779826687716,j
